timestamp,value
2023-08-31T13:40:33Z,95.5
2023-08-31T13:41:33Z,95.2
2023-08-31T13:42:33Z,95.0
2023-08-31T13:43:33Z,95.0
2023-08-31T13:44:33Z,95.0
2023-08-31T13:45:33Z,94.9
2023-08-31T13:46:33Z,94.9
2023-08-31T13:47:33Z,94.9
2023-08-31T13:48:33Z,94.9
2023-08-31T13:49:33Z,94.9
2023-08-31T13:50:33Z,94.9
2023-08-31T13:51:33Z,94.9
2023-08-31T13:52:33Z,50.0
2023-08-31T13:53:33Z,94.9
2023-08-31T13:54:33Z,94.5
2023-08-31T13:55:33Z,94.6
2023-08-31T13:56:33Z,50.0
2023-08-31T13:57:33Z,94.1
2023-08-31T13:58:33Z,93.9
2023-08-31T13:59:33Z,93.4
2023-08-31T14:00:33Z,93.2
2023-08-31T14:01:33Z,93.2
2023-08-31T14:02:33Z,93.0
2023-08-31T14:03:33Z,50.0
2023-08-31T14:04:33Z,50.0
2023-08-31T14:05:33Z,94.0
2023-08-31T14:06:33Z,94.6
2023-08-31T14:07:33Z,95.0
2023-08-31T14:08:33Z,95.2
2023-08-31T14:09:33Z,95.3
2023-08-31T14:10:33Z,95.2
2023-08-31T14:11:33Z,95.1
2023-08-31T14:12:33Z,95.2
2023-08-31T14:13:33Z,95.2
2023-08-31T14:14:33Z,95.1
2023-08-31T14:15:33Z,95.2
2023-08-31T14:16:33Z,95.4
2023-08-31T14:17:33Z,50.0
2023-08-31T14:18:33Z,95.6
2023-08-31T14:19:33Z,94.5
2023-08-31T14:20:33Z,50.0
2023-08-31T14:21:33Z,50.0
2023-08-31T14:22:33Z,50.0
2023-08-31T14:23:33Z,50.0
2023-08-31T14:24:33Z,50.0
2023-08-31T14:25:33Z,50.0
2023-08-31T14:26:33Z,50.0
2023-08-31T14:27:33Z,50.0
2023-08-31T14:28:33Z,50.0
2023-08-31T14:29:33Z,50.0
2023-08-31T14:30:33Z,50.0
2023-08-31T14:31:33Z,50.0
2023-08-31T14:32:33Z,93.7
2023-08-31T14:33:33Z,50.0
2023-08-31T14:34:33Z,50.0
2023-08-31T14:35:33Z,50.0
2023-08-31T14:36:33Z,50.0
2023-08-31T14:37:33Z,50.0
2023-08-31T14:38:33Z,50.0
2023-08-31T14:39:33Z,50.0
2023-08-31T14:40:33Z,50.0
2023-08-31T14:41:33Z,50.0
2023-08-31T14:42:33Z,50.0
2023-08-31T14:43:33Z,50.0
2023-08-31T14:44:33Z,50.0
2023-08-31T14:45:33Z,50.0
2023-08-31T14:46:33Z,50.0
2023-08-31T14:47:33Z,50.0
2023-08-31T14:48:33Z,50.0
2023-08-31T14:49:33Z,50.0
2023-08-31T14:50:33Z,92.1
2023-08-31T14:51:33Z,91.8
2023-08-31T14:52:33Z,50.0
2023-08-31T14:53:33Z,91.5
2023-08-31T14:54:33Z,50.0
